time,GPS1,GPS2,A,B,C
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:44,49.74397,13.3691566666667,110,200,77
9:58:46,49.7438666666667,13.3691216666667,151,200,78
9:58:46,49.7438666666667,13.3691216666667,151,200,78
9:58:46,49.7438666666667,13.3691216666667,151,200,78
9:58:46,49.7438666666667,13.3691216666667,151,200,78
9:58:46,49.7438666666667,13.3691216666667,151,200,78
9:58:46,49.7438666666667,13.3691216666667,151,200,76
9:58:46,49.7438666666667,13.3691216666667,151,200,76
9:58:46,49.7438666666667,13.3691216666667,151,200,76
9:58:46,49.7438666666667,13.3691216666667,151,200,76
9:58:46,49.7438666666667,13.3691216666667,151,200,76
9:58:46,49.7438666666667,13.3691216666667,151,200,77
9:58:46,49.7438666666667,13.3691216666667,151,200,77
9:58:46,49.7438666666667,13.3691216666667,151,200,77
9:58:46,49.7438666666667,13.3691216666667,151,200,77
9:58:46,49.7438666666667,13.3691216666667,151,200,77
9:58:46,49.7438666666667,13.3691216666667,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,77
9:58:46,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,151,200,15
9:58:47,49.7438433333333,13.3691233333333,151,200,78
9:58:47,49.7438433333333,13.3691233333333,85,200,80
9:58:47,49.7438433333333,13.3691233333333,85,200,80
9:58:47,49.7438433333333,13.3691233333333,85,200,80
9:58:47,49.7438433333333,13.3691233333333,87,200,141
9:58:48,49.7438433333333,13.3691233333333,134,200,75
9:58:48,49.7438433333333,13.3691233333333,134,200,75
9:58:48,49.7438433333333,13.3691233333333,134,200,75
9:58:48,49.7438433333333,13.3691233333333,134,200,75
9:58:48,49.7438433333333,13.3691233333333,134,200,75
9:58:48,49.7438433333333,13.3691233333333,134,200,75
9:58:48,49.7438433333333,13.3691233333333,134,200,76
9:58:48,49.7438433333333,13.3691233333333,134,200,76
9:58:48,49.7438433333333,13.3691233333333,134,200,76
9:58:48,49.7438433333333,13.3691233333333,134,200,76
9:58:48,49.7438433333333,13.3691233333333,134,200,76
9:58:48,49.7438433333333,13.3691233333333,134,200,76
9:58:48,49.7438433333333,13.3691233333333,134,200,78
9:58:48,49.7438433333333,13.3691233333333,134,200,78
9:58:48,49.7438433333333,13.3691233333333,134,200,78
9:58:48,49.7438433333333,13.3691233333333,134,200,78
9:58:48,49.7438433333333,13.3691233333333,134,200,78
9:58:48,49.7438433333333,13.3691233333333,134,200,78
9:58:48,49.7438433333333,13.3691233333333,119,200,78
9:58:48,49.7438433333333,13.3691233333333,119,200,78
9:58:48,49.7438433333333,13.3691233333333,119,200,78
9:58:48,49.7438433333333,13.3691233333333,115,200,78
9:58:48,49.7438433333333,13.3691233333333,115,200,78
